metro,pop_1317,pop_1822,pop_growth
"Warner Robins, GA",188764.0,192171.0,0.018048992392617258
"Warrensburg, MO",53941.0,54025.0,0.0015572570030217836
"Washington Court House, OH",28659.0,28901.0,0.008444118775951637
"Washington, DC",6090196.0,6346083.0,0.04201621754045348
"Washington, NC",47316.0,44711.0,-0.05505537238988922
"Watertown, WI",84586.0,85932.0,0.015912798808313422
"Wausau, WI",135293.0,166222.0,0.2286075406709882
"Weirton, WV",120337.0,116536.0,-0.031586295154441224
"West Point, MS",19990.0,18598.0,-0.06963481740870436
"Whitewater, WI",102917.0,105127.0,0.021473614660357354
"Wichita, KS",642339.0,646794.0,0.006935590085608956
"Williamsport, PA",115398.0,114022.0,-0.011923950155115381
"Wilmington, OH",41869.0,42077.0,0.004967875994172255
"Wilson, NC",81379.0,78667.0,-0.03332555081777855
"Winchester, VA",134712.0,143385.0,0.06438179226794949
"Winston, NC",658195.0,678243.0,0.03045905848570718
"Wisconsin Rapids, WI",73427.0,74138.0,0.00968308660302064
"Worcester, MA",934923.0,975551.0,0.04345598514530069
"York, PA",442216.0,457051.0,0.0335469544295095
"Youngstown, OH",548821.0,540328.0,-0.01547499093511362
"Yuba City, CA",170227.0,180806.0,0.062146428004958176
"Zanesville, OH",85933.0,86393.0,0.005353007575669366
