metro,pop_1317,pop_1822,pop_growth
"Corvallis, OR",88249.0,95615.0,0.08346836791351753
"Craig, CO",13056.0,13232.0,0.013480392156862697
"Crawfordsville, IN",38288.0,38018.0,-0.007051817801922322
"Cullman, AL",81703.0,88284.0,0.08054783790068898
"Dallas, TX",7104415.0,7673379.0,0.08008597470727707
"Dalton, GA",143407.0,143096.0,-0.0021686528551604356
"Daphne, AL",203360.0,233420.0,0.14781667977970092
"Davenport, IA",383141.0,382983.0,-0.00041238082063788095
"Dayton, OH",800893.0,812506.0,0.014500064303221594
"Dayton, TN",32478.0,33031.0,0.017026910524047034
"DeRidder, LA",36598.0,36553.0,-0.0012295753866331527
"Decatur, AL",152445.0,156218.0,0.024749909803535752
"Decatur, IN",35018.0,35827.0,0.02310240447769729
"Deltona, FL",623675.0,676035.0,0.08395398244277863
"Denver, CO",2798684.0,2959386.0,0.05742055909134436
"Des Moines, IA",623113.0,711490.0,0.14183141741546068
"Detroit, MI",4304613.0,4375604.0,0.016491842588404637
"Dixon, IL",34670.0,34221.0,-0.012950677819440481
"Dothan, AL",147790.0,150969.0,0.021510251031869654
"Dover, DE",173145.0,182400.0,0.053452308758555
"DuBois, PA",80539.0,79707.0,-0.010330398937160923
"Durant, OK",45068.0,46528.0,0.03239549125765517
"Durham, NC",550281.0,648066.0,0.17770012048389816
"East Stroudsburg, PA",167306.0,168128.0,0.004913153144537663
"Easton, MD",37461.0,37663.0,0.005392274632284311
"Eau Claire, WI",165833.0,171951.0,0.036892536467409975
"Edwards, CO",53726.0,55650.0,0.03581133901649114
"El Campo, TX",41430.0,41614.0,0.004441226164614953
"El Paso, TX",838527.0,867161.0,0.034147976153421356
"Elizabeth City, NC",63388.0,53507.0,-0.15588123935129683
"Elizabethtown, KY",150253.0,155871.0,0.037390268413941774
"Elkhart, IN",202924.0,206841.0,0.01930279316394312
"Elmira, NY",86883.0,83584.0,-0.03797060414580533
"Erie, PA",277794.0,270495.0,-0.026274865547851967
"Fairmont, WV",56575.0,56194.0,-0.006734423331860362
"Fargo, ND",232660.0,251635.0,0.08155677813117856
"Faribault, MN",65251.0,67152.0,0.029133653124089998
"Farmington, MO",66248.0,66814.0,0.008543654148049695
"Fayetteville, NC",385337.0,522537.0,0.35605197528397214
"Fernley, NV",52303.0,59435.0,0.13635929105405054
"Findlay, OH",75508.0,75072.0,-0.005774222598929901
"Flint, MI",410881.0,405280.0,-0.013631684112918374
"Forrest City, AR",26688.0,23138.0,-0.13301858513189446
"Fort Payne, AL",71194.0,71680.0,0.006826417956569353
"Fort Polk South, LA",51906.0,48452.0,-0.06654336685546947
"Fort Wayne, IN",429060.0,419715.0,-0.02178017060550974
"Frankfort, IN",32455.0,33020.0,0.017408719765829694
"Frankfort, KY",71986.0,75314.0,0.046231211624482516
"Freeport, IL",45839.0,44482.0,-0.02960361264425493
"Fremont, NE",36576.0,37175.0,0.016376859142607225
"Fresno, CA",971616.0,1008280.0,0.03773507229193429
"Gaffney, SC",56549.0,56200.0,-0.006171638755769315
"Gainesville, FL",277056.0,341067.0,0.23103993416493407
"Gainesville, GA",192865.0,204953.0,0.06267596505327555
"Gainesville, TX",39064.0,41860.0,0.07157485152570131
"Gardnerville Ranchos, NV",47632.0,49476.0,0.0387134699361773
"Georgetown, SC",61065.0,63594.0,0.04141488577745034
"Gettysburg, PA",101589.0,104604.0,0.029678410064081673
"Glasgow, KY",53408.0,54824.0,0.026512881965248702
"Glens Falls, NY",126884.0,126994.0,0.0008669335771256392
"Glenwood Springs, CO",75692.0,79008.0,0.043809121175289345
"Gloversville, NY",53955.0,53280.0,-0.012510425354462007
"Grand Rapids, MI",1039182.0,1087068.0,0.04608047483501454
"Grants Pass, OR",84514.0,87994.0,0.041176609792460406
"Greeley, CO",285729.0,331466.0,0.16007125633029906
"Green Bay, WI",315847.0,328011.0,0.03851231767279728
"Greensboro, NC",751590.0,775169.0,0.031372157692358904
"Greensburg, IN",26480.0,26432.0,-0.0018126888217522286
"Greenville, NC",176484.0,171196.0,-0.029963056141066646
"Greenville, OH",51919.0,51751.0,-0.003235809626533692
"Greenville, SC",872463.0,931405.0,0.06755816579041185
"Greenwood, SC",94769.0,69309.0,-0.2686532515907101
"Guayama, PR",78896.0,68089.0,-0.1369777935510038
"Hagerstown, MD",261156.0,295165.0,0.1302248464519291
"Hammond, LA",128850.0,133953.0,0.03960419091967404
"Hanford, CA",150183.0,152515.0,0.015527722844796088
"Hannibal, MO",38911.0,38881.0,-0.0007709902084243048
"Harrisburg, PA",565008.0,593318.0,0.05010548523206748
"Harrisonburg, VA",131717.0,135689.0,0.030155560785623647
"Hartford, CT",1213123.0,1215703.0,0.002126742300657014
"Heber, UT",29306.0,77533.0,1.6456357059987714
"Henderson, NC",44420.0,42492.0,-0.04340387212967134
"Hinesville, GA",79977.0,82354.0,0.02972104480038018
"Holland, MI",114145.0,120189.0,0.05295019492750441
"Hot Springs, AR",97994.0,100021.0,0.02068493989427922
"Houston, TX",6636208.0,7142603.0,0.0763078854671222
"Hudson, NY",61481.0,61469.0,-0.00019518225142722834
"Huntington, IN",36520.0,36699.0,0.004901423877327504
"Huntington, WV",360603.0,359005.0,-0.004431466183032362
"Huntsville, AL",444908.0,493980.0,0.110296960270438
"Huntsville, TX",85299.0,77182.0,-0.0951593805320109
"Hutchinson, MN",35816.0,36727.0,0.025435559526468587
