msanecma,population,msaname,WRLURI,FLAT_SHARE_50_15,S_LAND_50,lu11,lu91,lu92,unaval,elasticity
1350.0,66552,"Casper, WY (MSA)",-0.8195934,87.0,100.0,0.002943124536498978,0.0005203805982463614,0.00399911134930538,0.13746262,4.5381074
1360.0,192153,"Cedar Rapids, IA (MSA)",-0.68610734,100.0,100.0,0.009837199287876096,0.016603151774010727,0.008997094009053942,0.035437446,3.9480708
1400.0,179782,"Champaign-Urbana, IL (MSA)",-0.39136863,100.0,100.0,0.00474417318930491,0.009090821587692477,0.0006969745991905136,0.014531969,3.629078
1440.0,550444,"Charleston-North Charleston, SC (MSA)",-0.8060621,100.0,63.0,0.1177754449006819,0.17626555468915892,0.07812460630498946,0.60446435,1.1964433
1480.0,251429,"Charleston, WV (MSA)",-1.1493769,29.0,100.0,0.006927848354550029,0.0002257544844010482,0.00022880028154623232,0.71738243,1.5718449
1520.0,1508050,"Charlotte-Gastonia-Rock Hill, NC-SC (MSA)",-0.5302106,99.0,100.0,0.026161787035685533,0.00968291109182703,0.0010696876309933443,0.046914387,3.0920334
1540.0,160243,"Charlottesville, VA (MSA)",-0.9799601,80.0,100.0,0.008699755437892765,0.007706450962089326,0.0012695364536744538,0.21767575,3.4359303
1560.0,465678,"Chattanooga, TN-GA (MSA)",-0.72058916,77.0,100.0,0.020653242244986714,0.00621138545862659,0.0013594979879292678,0.25822413,2.1130126
1600.0,8289936,"Chicago, IL (PMSA)",0.019291578,100.0,63.0,0.022038395131969167,0.018617135398761496,0.007146690015885423,0.4001154,0.81137383
1620.0,203769,"Chico-Paradise, CA (MSA)",0.94018835,69.0,100.0,0.01730792321980836,0.005627881012884016,0.016285137166084745,0.34922093,1.7394891
1640.0,1649228,"Cincinnati, OH-KY-IN (PMSA)",-0.5770942,92.0,100.0,0.016078769981137917,0.0055306659442614136,0.001348097741459225,0.10295753,2.4609513
1680.0,2250096,"Cleveland-Lorain-Elyria, OH (PMSA)",-0.16035768,99.0,64.0,0.013930168771790987,0.03714281662637443,0.009223531900537998,0.40498978,1.0249237
1720.0,519258,"Colorado Springs, CO (MSA)",0.86787033,78.0,100.0,0.0026918479836455724,0.0,0.0,0.22269185,1.6681645
